Link{personFirst=Person{name='Oleg', surname='M'}, personSecond=Person{name='Dima', surname='M'}, link=PARENT}
Link{personFirst=Person{name='Dima', surname='M'}, personSecond=Person{name='Oleg', surname='M'}, link=CHILD}
Link{personFirst=Person{name='Alla', surname='M'}, personSecond=Person{name='Dima', surname='M'}, link=PARENT}
Link{personFirst=Person{name='Dima', surname='M'}, personSecond=Person{name='Alla', surname='M'}, link=CHILD}
Link{personFirst=Person{name='Alena', surname='M'}, personSecond=Person{name='Dima', surname='M'}, link=WIFE}
Link{personFirst=Person{name='Dima', surname='M'}, personSecond=Person{name='Alena', surname='M'}, link=HUSBAND}
Link{personFirst=Person{name='Sasha', surname='M'}, personSecond=Person{name='Dima', surname='M'}, link=CHILD}
Link{personFirst=Person{name='Dima', surname='M'}, personSecond=Person{name='Sasha', surname='M'}, link=PARENT}
Link{personFirst=Person{name='Oleg', surname='M'}, personSecond=Person{name='Alla', surname='M'}, link=HUSBAND}
Link{personFirst=Person{name='Alla', surname='M'}, personSecond=Person{name='Oleg', surname='M'}, link=WIFE}
Link{personFirst=Person{name='Oleg', surname='M'}, personSecond=Person{name='Alena', surname='M'}, link=FATHER_IN_LAW}
Link{personFirst=Person{name='Alena', surname='M'}, personSecond=Person{name='Oleg', surname='M'}, link=DAUGHTER_IN_LAW}
Link{personFirst=Person{name='Oleg', surname='M'}, personSecond=Person{name='Sasha', surname='M'}, link=GRANDFATHER}
Link{personFirst=Person{name='Sasha', surname='M'}, personSecond=Person{name='Oleg', surname='M'}, link=GRANDSONS}
Link{personFirst=Person{name='Alla', surname='M'}, personSecond=Person{name='Alena', surname='M'}, link=MOTHER_IN_LAW}
Link{personFirst=Person{name='Alena', surname='M'}, personSecond=Person{name='Alla', surname='M'}, link=DAUGHTER_IN_LAW}
Link{personFirst=Person{name='Alla', surname='M'}, personSecond=Person{name='Sasha', surname='M'}, link=GRANDMOTHER}
Link{personFirst=Person{name='Sasha', surname='M'}, personSecond=Person{name='Alla', surname='M'}, link=GRANDSONS}
Link{personFirst=Person{name='Alena', surname='M'}, personSecond=Person{name='Sasha', surname='M'}, link=PARENT}
Link{personFirst=Person{name='Sasha', surname='M'}, personSecond=Person{name='Alena', surname='M'}, link=CHILD}
